Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank,Experience,Previous_Best,Previous_Average
London,1948,100.0,Freestyle,0,Women,DEN,Fritze Wulf Carstensen,69.1,4,0.0,,
London,1948,400.0,Freestyle,0,Women,DEN,Fritze Wulf Carstensen,329.4,4,0.0,,
Athens,2004,100.0,Butterfly,0,Men,BRA,Gabriel Mangabeira,52.34,4,0.0,,
Montreal,1976,100.0,Breaststroke,0,Women,FRG,Gabriele Askamp,74.15,4,0.0,,
Rio,2016,400.0,Freestyle,0,Men,ITA,Gabriele Detti,223.49,3,0.0,,
Tokyo,2020,400.0,Freestyle,0,Men,ITA,Gabriele Detti,224.88,4,1.0,223.49,223.49
Rio,2016,1500.0,Freestyle,0,Men,ITA,Gabriele Detti,880.86,3,0.0,,
Munich,1972,100.0,Freestyle,0,Women,GDR,Gabriele Wetzko,59.21,4,0.0,,
City,1968,200.0,Freestyle,0,Women,GDR,Gabriele Wetzko,132.3,4,0.0,,
City,1968,400.0,Freestyle,0,Women,GDR,Gabriele Wetzko,280.2,4,0.0,,
Barcelona,1992,100.0,Breaststroke,0,Women,HUN,Gabriella Csepe,70.19,4,0.0,,
Beijing,2008,100.0,Butterfly,0,Women,BRA,Gabriella Silva,58.1,4,0.0,,
Sydney,2000,200.0,Individual medley,0,Women,USA,Gabrielle Rose,134.82,4,0.0,,
Montreal,1976,200.0,Freestyle,0,Women,CAN,Gail Amundrud,123.32,4,0.0,,
Munich,1972,200.0,Butterfly,0,Women,AUS,Gail Neall,141.88,4,0.0,,
Munich,1972,400.0,Individual medley,0,Women,AUS,Gail Neall,302.97,1,0.0,,
Amsterdam,1928,1500.0,Freestyle,0,Men,CAN,Garnet Walter Ault,1306.0,4,0.0,,
Moscow,1980,100.0,Backstroke,0,Men,GBR,Gary Abraham,58.38,4,0.0,,
Moscow,1980,100.0,Butterfly,0,Men,GBR,Gary Abraham,55.42,4,0.0,,
Melbourne,1956,100.0,Freestyle,0,Men,AUS,Gary Chapman,56.7,3,0.0,,
Atlanta,1996,50.0,Freestyle,0,Men,USA,"Gary Hall, Jr.",22.26,2,0.0,,
Sydney,2000,50.0,Freestyle,0,Men,USA,"Gary Hall, Jr.",21.98,1,1.0,22.26,22.26
Athens,2004,50.0,Freestyle,0,Men,USA,"Gary Hall, Jr.",21.93,1,2.0,21.98,22.12
Atlanta,1996,100.0,Freestyle,0,Men,USA,"Gary Hall, Jr.",48.81,2,0.0,,
Sydney,2000,100.0,Freestyle,0,Men,USA,"Gary Hall, Jr.",48.73,3,1.0,48.81,48.81
Angeles,1984,100.0,Backstroke,0,Men,NZL,Gary Hurring,56.9,4,0.0,,
Angeles,1984,200.0,Backstroke,0,Men,NZL,Gary Hurring,123.1,4,0.0,,
Tokyo,1964,200.0,Backstroke,0,Men,USA,Gary J. Dilley,130.5,2,0.0,,
Montreal,1976,100.0,Butterfly,0,Men,USA,Gary Jr. Hall,54.65,3,0.0,,
City,1968,200.0,Backstroke,0,Men,USA,Gary Jr. Hall,132.6,4,0.0,,
Munich,1972,200.0,Butterfly,0,Men,USA,Gary Jr. Hall,122.86,2,0.0,,
Munich,1972,200.0,Individual medley,0,Men,USA,Gary Jr. Hall,128.49,4,0.0,,
City,1968,400.0,Individual medley,0,Men,USA,Gary Jr. Hall,288.7,2,0.0,,
Munich,1972,400.0,Individual medley,0,Men,USA,Gary Jr. Hall,277.38,4,1.0,288.7,288.7
Seoul,1988,200.0,Individual medley,0,Men,CAN,Gary Myers Anderson,126.35,4,0.0,,
Barcelona,1992,200.0,Individual medley,0,Men,CAN,Gary Myers Anderson,124.3,4,1.0,126.35,126.35
Tokyo,1964,100.0,Freestyle,0,Men,USA,Gary Steven Ilman,54.0,3,0.0,,
Melbourne,1956,400.0,Freestyle,0,Men,AUS,Gary Winram,274.9,4,0.0,,
Melbourne,1956,1500.0,Freestyle,0,Men,AUS,Gary Winram,1146.2,4,0.0,,
Angeles,1984,400.0,Individual medley,0,Women,GBR,Gaynor Stanley,292.83,4,0.0,,
Helsinki,1952,100.0,Backstroke,0,Women,NED,Geertje Wielema,74.5,2,0.0,,
Beijing,2008,100.0,Backstroke,0,Women,GBR,Gemma Spofforth,59.38,4,0.0,,
London,2012,100.0,Backstroke,0,Women,GBR,Gemma Spofforth,59.2,4,1.0,59.38,59.38
Moscow,1980,200.0,Breaststroke,0,Men,URS,Gennadi Utenkov,139.64,4,0.0,,
Seoul,1988,50.0,Freestyle,0,Men,URS,Gennady Prigoda,22.71,3,0.0,,
Barcelona,1992,50.0,Freestyle,0,Men,EUN,Gennady Prigoda,22.54,4,1.0,22.71,22.71
